dimemployee_fullname,dimemployee_firstname,finishedgoodsflag,dimreseller_ordermonth,factsales_freight,factsales_currencykey,dimdate_monthnumberofyear,productalternatekey,dimreseller_lastorderyear,dimgeography_city,dimsalesterritory_salesterritorykey,dimdate_monthname,dimreseller_yearopened,factsales_orderquantity,productsubcategoryname,dimemployee_gender,productsubcategoryalternatekey,dimdate_fiscalyear,dimemployee_salariedflag,factsales_extendedamount,factsales_ordertime,factsales_productstandardcost,dimreseller_businesstype,factsales_salesorderlinenumber,startdate,dimreseller_resellername_it,dimdate_daynumberofweek,dimgeography_latlong,factsales_productkey,enddate,productsubcategorykey,factsales_unitprice,dimdate_daynumberofyear,dimdate_calendaryear,dimemployee_title,sizeunitmeasurecode,dimreseller_resellerkey,surveyresponse,dimgeography_stateprovincename,dimreseller_addresslineone,dimgeography_countryregionname,dimemployee_maritalstatus,productline,dimemployee_status,dimdate_fulldatealternatekey,dimdate_fiscalsemester,dimreseller_bankname_it,dimgeography_stateprovincecode,productname_es,dimreseller_resellername,dimemployee_birthdate,dimdate_daynumberofmonth,dimemployee_phone,dimgeography_countryregioncode,dimgeography_latlong_geo_subregion,listprice,reorderpoint,dimgeography_latlong_geo_country,dimemployee_employeekey,dimemployee_lastname,productcategoryname,dimdate_fiscalquarter,dimemployee_employeenationalidalternatekey,dimgeography_latlong_geo_postcode,dimreseller_annualsales,dimreseller_minpaymentamount,factsales_salesamount,factsales_salesterritorykey,factsales_taxamt,dimdate_calendarquarter,safetystocklevel,daystomanufacture,dimgeography_latlong_geo_subregionid,factsales_totalproductcost,dimreseller_geographykey,description,dimemployee_emailaddress,dimemployee_salespersonflag,dimemployee_salesterritorykey,factsales_discountamount,dimreseller_productline,dimsalesterritory_salesterritorycountry,dimreseller_addresslinetwo,dimdate_weeknumberofyear,dimreseller_phone,factsales_shipdatekey,factsales_recordspec,factsales_employeekey,dimgeography_latlong_geo_city,d,status,class,dealerprice,factsales_salesordernumber,productname_zh_tw,size,dimsalesterritory_salesterritoryregion,dimreseller_bankname_de,dimreseller_bankname_zh_cn,factsales_carriertrackingnumber,standardcost,dimdate_daynameofweek,dimreseller_minpaymenttype,productcategorykey,productcategoryalternatekey,dimreseller_annualrevenue,factsales_revisionnumber,factsales_orderdatekey,modelname,weight,dimgeography_salesterritorykey,dimsalesterritory_salesterritorygroup,factsales_resellerkey,factsales_shiptime,dimemployee_baserate,factsales_unitpricediscountpct,factsales_duedatekey,factsales_orderduration_duration,style,dimreseller_orderfrequency,dimreseller_firstorderyear,dimemployee_startdate,dimemployee_currentflag,dimgeography_latlong_geo_region,dimgeography_latlong_geo_regionid,productname_it,dimdate_calendarsemester,dimemployee_departmentname,productname,factsales_promotionkey,dimreseller_numberemployees,weightunitmeasurecode,dimgeography_postalcode,factsales_customerponumer,sizerange,dimemployee_hiredate,dimreseller_bankname,dimgeography_geographykey,dimemployee_middlename,color,dimreseller_reselleralternatekey,productcategory,dimdate_datekey
Linda C Mitchell,Linda,,4,71.5221,100,4,BK-T79Y-50,2008,Chandler,4,April,1992,2,Touring Bikes,F,3,2008,1,2860.884,18:00:42.000Z,1481.9379,Warehouse,24,,Rally Master Company Inc,3,33.316349 -111.83064,562,,3,1430.442,92,2008,Sales Representative,CM ,205,,Arizona,870 N. 54th Ave.,United States,M,,Current,00:00.,2,Sicurezza Internazionale [it],AZ,Turismo-1000 Amarillo [es],Rally Master Company Inc,00:00.,1,883-555-0116,US,Maricopa County,,,US,282,Mitchell,Bikes,Q4,191644724,85225,3000000,,2860.884,4,228.8707,2,,,5303754,2963.8758,285,,linda3@adventur,1,4,0,Touring,United States,,14,171-555-0147,46:52.,SO67298-24,282,Chandler,dimreseller_businesstype_ja,,,,SO67298,productname_zh_tw,,Southwest,International Sicherheit [de],dimreseller_bankname_zh_cn,F9FB-4B4C-92,,Tuesday,2,1,1,300000,1,00:42.,,,4,North America,205,21:46:52.000Z,23.0769,0,00:00.,618370000,,Q,2007,00:00.,1,Arizona,5551752,Turismo-3000 Blu [it],1,Sales,Touring-1000 Yellow,1,97,LB ,85225,PO2755196827,,00:00.,International Security,285,C,,AW00000205,3,00:00.
Jillian  Carson,Jillian,,4,4.5985,100,10,FR-R38B-44,2008,Garland,4,October,1981,1,Road Frames,F,14,2007,1,183.9382,18:52:47.000Z,170.1428,Warehouse,34,,Fitness Toy Store,1,32.920574 -96.62639,280,,14,183.9382,274,2006,Sales Representative,CM ,166,,Texas,220 Mercy Drive,United States,S,,Current,00:00.,1,Primaria Banca e Riserva [it],TX,LL Carretera Marco - Rojo [es],Fitness Toy Store,00:00.,1,517-555-0117,US,Dallas County,,,US,283,Carson,Components,Q2,615389812,75045,3000000,,183.9382,4,14.7151,4,,,4684904,170.1428,580,,jillian0@advent,1,3,0,Road,United States,,40,351-555-0131,40:00.,SO47712-34,283,Garland,dimreseller_businesstype_ja,,,,SO47712,productname_zh_tw,,Southwest,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,299D-4C8A-BF,,Sunday,,2,2,300000,1,52:47.,,,4,North America,166,10:40:00.000Z,23.0769,0,00:00.,575233000,,Q,2005,00:00.,1,Texas,4736286,LL Strada Telaio - Rosso [it],2,Sales,LL Road Frame - Black,1,84,LB ,75040,PO5626117491,,00:00.,Primary Bank & Reserve,580,,,AW00000166,14,00:00.
Jillian  Carson,Jillian,,4,3.7493,100,7,LJ-0192-X,2008,Plaistow,2,July,1973,5,Jerseys,F,21,2008,1,149.97,18:31:28.000Z,38.4923,Value Added Reseller,31,,Bike Store Settimo,1,42.837189 -71.09445,237,,21,29.994,182,2007,Sales Representative,,618,,New Hampshire,Stateline Plaza,United States,S,,Current,00:00.,1,Sicurezza Internazionale [it],NH,Largo-Manga Logo Jersey [es],Seventh Bike Store,00:00.,1,517-555-0117,US,Rockingham County,,,US,283,Carson,Clothing,Q1,615389812,3865,300000,,149.97,2,11.9976,3,,,5091860,192.4615,503,,jillian0@advent,1,3,0,Road,United States,,27,860-555-0119,05:26.,SO51101-31,283,Plaistow,dimreseller_businesstype_ja,,,,SO51101,productname_zh_tw,,Northeast,International Sicherheit [de],dimreseller_bankname_zh_cn,5853-46B4-AC,,Sunday,1,3,3,30000,1,31:28.,,,2,North America,618,03:05:26.000Z,23.0769,0,00:00.,635638000,,S,2005,00:00.,1,New Hampshire,5090174,Manica Lunga Logo Maglietta [it],2,Sales,Long-Sleeve Logo Jersey,1,2,,3865,PO13775166153,,00:00.,International Security,503,,,AW00000618,21,00:00.
Ranjit R Varkey Chudukatil,Ranjit,TRUE,4,1.875,36,1,LO-C100,2008,Colombes,7,January,1991,5,Locks,M,34,2007,1,75,09:02:16.000Z,10.3125,Warehouse,2,,Steel Inc.,2,,447,,34,15,1,2007,Sales Representative,,139,,Hauts de Seine,"5, place de la Concorde",France,S,S ,Current,00:00.,2,Custode Della Banca [it],92,,Steel Inc.,00:00.,1,1 (11) 500 555-,FR,,25,3,,292,Varkey Chudukatil,Accessories,Q3,134219713,,3000000,,75,7,6,1,4,0,,51.5625,215,Wraps to fit front and rear tires,ranjit0@adventu,1,7,0,Road,France,,1,1 (11) 500 555-0168,59:21.,SO48763-2,292,,dimreseller_businesstype_ja,,,15,SO48763,productname_zh_tw,,France,Vormund Bank [de],dimreseller_bankname_zh_cn,06A5-45C0-A2,10.3125,Monday,2,4,4,300000,1,02:16.,Cable Lock,,7,Europe,139,11:59:21.000Z,23.0769,0,00:00.,615425000,,Q,2006,00:00.,1,,,,1,Sales,Cable Lock,1,67,,92700,PO3509163189,NA,00:00.,Guardian Bank,215,R,NA,AW00000139,34,00:00.
Jae B Pak,Jae,,6,89.082,19,3,BK-T18U-54,2008,Vancouver,6,March,1987,8,Touring Bikes,F,3,2008,1,3563.28,02:03:19.000Z,461.4448,Warehouse,10,,Campeggio e negozio di articoli sportivi,7,,565,,3,445.41,61,2008,Sales Representative,CM ,154,"I wanted to let you know that Linda is going to be a great sales rep for you.  Even though she is new to Adventure Works and unfamiliar with all of the products, she has an awesome amount of energy and is very resourceful.  I was looking for the HL Crankset from 2 years ago since it has 2 inch wrench instead of 1.5 in this years model.  She looked high and low, talked to everyone and finally found one extra set in the basement storage.  She was sweating profusely by the time she was done.  I felt so guilty I bought an extra Blue HL Touring Frame!  She rocks    ",British Columbia,400-25155 West Pender St,Canada,M,,Current,00:00.,2,Riserva di Sicurezza [it],BC,,Camping and Sports Store,00:00.,1,1 (11) 500 555-,CA,,,,,291,Pak,Bikes,Q3,668991357,,3000000,,3563.28,6,285.0624,1,,,,3691.5584,68,,jae0@adventure-,1,10,0,Touring,Canada,,10,193-555-0116,06:10.,SO65163-10,291,,dimreseller_businesstype_ja,,,,SO65163,productname_zh_tw,,Canada,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,6062-4B82-A4,,Saturday,1,1,1,300000,1,03:19.,,,6,North America,154,11:06:10.000Z,23.0769,0,00:00.,550971000,,Q,2007,00:00.,1,,,,1,Sales,Touring-3000 Blue,1,80,LB ,V7L 4J4,PO18502160930,,00:00.,Reserve Security,68,B,,AW00000154,3,00:00.
Tsvi Michael Reiter,Tsvi,,6,20.9729,100,9,BK-R50R-48,2008,Memphis,5,September,1979,2,Road Bikes,M,2,2006,1,838.9178,18:55:44.000Z,413.1463,Value Added Reseller,8,,Eccellenti materiali di consumo equitazione,5,35.146131 -90.0534,328,,2,419.4589,244,2005,Sales Representative,CM ,170,"The bike frames were as-expected. I did my research via other stores before I purchased. The sports shorts fit well and were comfortable. The Long-sleeve logo jersey, however, irritated my nipples after a half hour of wear.  David was a great rep. He answered all my questions, and best of all, he didn't push add-on components that I didn't need. Thanks for the service.",Tennessee,"6555 Quince Road, Suite 2025",United States,M,,Current,00:00.,1,Sicurezza Internazionale [it],TN,Carretera-650 Rojo [es],Excellent Riding Supplies,00:00.,1,664-555-0112,US,Shelby County,,,US,285,Reiter,Bikes,Q1,716374314,37544,300000,,838.9178,5,67.1134,3,,,4657046,826.2926,567,,tsvi0@adventure,1,5,0,Road,United States,,35,576-555-0171,51:18.,SO44133-8,285,Memphis,dimreseller_businesstype_ja,,,,SO44133,productname_zh_tw,,Southeast,International Sicherheit [de],dimreseller_bankname_zh_cn,4899-4DD6-93,,Thursday,,1,1,30000,1,55:44.,,,5,North America,170,21:51:18.000Z,23.0769,0,00:00.,615334000,,S,2005,00:00.,1,Tennessee,4662168,Strada-650 Rosso [it],2,Sales,Road-650 Red,1,6,LB ,38103,PO9599144193,,00:00.,International Security,567,Michael,,AW00000170,2,00:00.
Jillian  Carson,Jillian,,5,506.2485,100,2,BK-M82B-42,2006,Minneapolis,3,February,1977,10,Mountain Bikes,F,1,2006,1,20249.94,11:17:24.000Z,1898.0944,Warehouse,6,,Componenti Hardware,4,44.975565 -93.27053,349,,1,2024.994,32,2006,Sales Representative,CM ,623,,Minnesota,City Center,United States,S,,Current,00:00.,2,Riserva di Sicurezza [it],MN,Monta?a-200 Plata [es],Hardware Components,00:00.,1,517-555-0117,US,Hennepin County,,,US,283,Carson,Bikes,Q3,615389812,55401,3000000,,20249.94,3,1619.9952,1,,,5029877,18980.944,479,,jillian0@advent,1,3,0,Mountain,United States,,5,153-555-0195,18:56.,SO45308-6,283,Minneapolis,dimreseller_businesstype_ja,,,,SO45308,productname_zh_tw,,Central,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,81AA-4F3D-A7,,Wednesday,2,1,1,300000,1,17:24.,,,3,North America,623,18:18:56.000Z,23.0769,0,00:00.,630092000,,Q,2005,00:00.,1,Minnesota,5037779,Montagna-200 Argento [it],1,Sales,Mountain-100 Black,1,91,LB ,55402,PO10440184078,,00:00.,Reserve Security,479,,,AW00000623,1,00:00.
Ranjit R Varkey Chudukatil,Ranjit,,6,16.8074,100,3,BK-R64Y-40,2008,Saint Ouen,7,March,1987,1,Road Bikes,M,2,2008,1,672.294,21:25:07.000Z,713.0798,Warehouse,23,,Getaway Inn,7,,384,,2,672.294,61,2008,Sales Representative,CM ,481,,Loir et Cher,"54, avenue des Ternes",France,S,,Current,00:00.,2,Primaria Banca e Riserva [it],41,Carretera-550-W Amarillo [es],Getaway Inn,00:00.,1,1 (11) 500 555-,FR,,,,,292,Varkey Chudukatil,Bikes,Q3,134219713,,3000000,600,672.294,7,53.7835,1,,,,713.0798,182,,ranjit0@adventu,1,7,0,Road,France,,10,1 (11) 500 555-0149,21:33.,SO65226-23,292,,dimreseller_businesstype_ja,,,,SO65226,productname_zh_tw,,France,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,55DE-4772-82,,Saturday,3,1,1,300000,1,25:07.,,,7,Europe,481,12:21:33.000Z,23.0769,0,00:00.,572186000,,Q,2006,00:00.,1,,,Strada-550-W Giallo [it],1,Sales,Road-550-W Yellow,1,80,LB ,41100,PO15515186601,,00:00.,Primary Bank & Reserve,182,R,,AW00000481,2,00:00.
Jillian  Carson,Jillian,TRUE,6,6.39,100,9,FB-9873,2008,Lake George,2,September,2000,4,Brakes,F,6,2008,1,255.6,18:51:21.000Z,47.286,Value Added Reseller,52,,Biciclette Glossy,7,43.41928 -73.70766,555,,6,63.9,244,2007,Sales Representative,,539,,New York,Adirondack Factory Outlet,United States,S,,Current,00:00.,1,Riserva di Sicurezza [it],NY,,Glossy Bikes,00:00.,1,517-555-0117,US,Warren County,106.5,375,US,283,Carson,Components,Q1,615389812,12804,800000,,255.6,2,20.448,3,500,1,5143268,189.144,519,All-weather brake pads; provides superior stopping by applying more surface to the rim.,jillian0@advent,1,3,0,Touring,United States,,36,108-555-0171,24:52.,SO53560-52,283,Glens Falls North,dimreseller_businesstype_ja,,,63.9,SO53560,productname_zh_tw,,Northeast,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,3D25-4203-A4,47.286,Saturday,1,2,2,80000,1,51:21.,Front Brakes,317,2,North America,539,14:24:52.000Z,23.0769,0,00:00.,588811000,,S,2007,00:00.,1,New York,5128638,,2,Sales,Front Brakes,1,19,G  ,12845,PO7685199983,NA,00:00.,Reserve Security,519,,Silver,AW00000539,6,00:00.
Jillian  Carson,Jillian,TRUE,4,1.8627,100,7,PD-R563,2008,Holland,3,July,1971,2,Pedals,F,13,2008,1,74.508,11:45:08.000Z,27.568,Specialty Bike Shop,1,7/1/2007 0:00,Ciclo di piccolo negozio,1,42.765918 -86.10544,546,,13,37.254,182,2007,Sales Representative,,431,Linda was very helpful.  She knows plenty about your product line.  The sales was simple and she knew everything I needed to know about Classic Vests.,Michigan,Horizon Outlet Center,United States,S,R ,Current,00:00.,1,Uniti Sicurezza [it],MI,,Small Cycle Store,00:00.,1,517-555-0117,US,Ottawa County,62.09,375,US,283,Carson,Components,Q1,615389812,49423,1000000,,74.508,3,5.9606,3,500,1,5004681,55.136,461,Lightweight aluminum alloy construction.,jillian0@advent,1,3,0,Road,United States,,27,583-555-0130,37:28.,SO51149-1,283,Holland,dimreseller_businesstype_ja,Current,M ,37.254,SO51149,productname_zh_tw,,Central,Vereint Sicherheit [de],dimreseller_bankname_zh_cn,E0BD-412F-A7,27.568,Sunday,1,2,2,100000,1,45:08.,ML Road Pedal,168,3,North America,431,18:37:28.000Z,23.0769,0,00:00.,629540000,,A,2005,00:00.,1,Michigan,5001836,,2,Sales,ML Road Pedal,1,28,G  ,49423,PO6235137860,NA,00:00.,United Security,461,,Silver/Black,AW00000431,13,00:00.
Rachel B Valdez,Rachel,,5,0.7499,36,5,LJ-0192-M,2008,M??en,8,May,1993,1,Jerseys,F,21,2008,1,29.994,14:48:41.000Z,38.4923,Warehouse,49,,Funzionale Negozio Sud,5,,231,,21,29.994,122,2008,Sales Representative,,687,,Nordrhein-Westfalen,Viktoria-Luise-Platz 475,Germany,S,,Current,00:00.,2,Bancario Internazionale [it],NW,Largo-Manga Logo Jersey [es],Functional Store South,00:00.,1,1 (11) 500 555-,DE,,,,,295,Valdez,Clothing,Q4,954276278,,3000000,,29.994,8,2.3995,2,,,,38.4923,159,,rachel0@adventu,1,8,0,Mountain,Germany,,18,1 (11) 500 555-0178,12:55.,SO69444-49,295,,dimreseller_businesstype_ja,,,,SO69444,productname_zh_tw,,Germany,International Bank [de],dimreseller_bankname_zh_cn,C494-47D6-AF,,Thursday,,3,3,300000,1,48:41.,,,8,Europe,687,23:12:55.000Z,23.0769,0,00:00.,635054000,,Q,2007,00:00.,1,,,Manica Lunga Logo Maglietta [it],1,Sales,Long-Sleeve Logo Jersey,1,70,,80074,PO11368134457,,00:00.,International Bank,159,B,,AW00000687,21,00:00.
Shu K Ito,Shu,,6,5.7681,100,6,LJ-0192-L,2008,Park City,1,June,1972,8,Jerseys,M,21,2006,1,230.7232,15:21:40.000Z,31.7244,Warehouse,11,,Biciclette e accessori moda,5,40.726899 -111.53674,232,,21,28.8404,152,2006,Sales Representative,,293,,Utah,Sports Store At Park City,United States,M,,Current,00:00.,2,Custode Della Banca [it],UT,Largo-Manga Logo Jersey [es],Fashionable Bikes and Accessories,00:00.,1,330-555-0120,US,Summit County,,,US,287,Ito,Clothing,Q4,139397894,84098,3000000,,230.7232,1,18.4579,2,,,5782267,253.7952,597,,shu0@adventure-,1,4,0,Mountain,United States,,22,115-555-0113,51:47.,SO46348-11,287,Snyderville,dimreseller_businesstype_ja,,,,SO46348,productname_zh_tw,,Northwest,Vormund Bank [de],dimreseller_bankname_zh_cn,CF4C-437D-97,,Thursday,2,3,3,300000,1,21:40.,,,1,North America,293,12:51:47.000Z,23.0769,0,00:00.,595807000,,Q,2005,00:00.,1,Utah,5549030,Manica Lunga Logo Maglietta [it],1,Sales,Long-Sleeve Logo Jersey,1,90,,84098,PO13543132672,,00:00.,Guardian Bank,597,K,,AW00000293,21,00:00.
Michael G Blythe,Michael,,5,19.8038,100,8,FR-M21S-42,2008,Houston,4,August,1982,5,Mountain Frames,M,12,2008,1,792.15,09:41:43.000Z,144.5938,Value Added Reseller,19,,La Gear Negozio,4,29.749278 -95.34741,524,,12,158.43,213,2007,Sales Representative,CM ,309,,Texas,2345 North Freeway,United States,S,,Current,00:00.,1,Bancario Internazionale [it],TX,LL Turismo Manillar [es],The Gear Store,00:00.,1,257-555-0154,US,Harris County,,,US,281,Blythe,Components,Q1,841560125,77250,800000,,792.15,4,63.372,3,,,4696376,722.969,582,,michael9@advent,1,2,0,Mountain,United States,,31,149-555-0113,30:09.,SO51809-19,281,Houston,dimreseller_businesstype_ja,,,,SO51809,productname_zh_tw,,Southwest,International Bank [de],dimreseller_bankname_zh_cn,F690-4F1D-B1,,Wednesday,,2,2,80000,1,41:43.,,,4,North America,309,07:30:09.000Z,23.0769,0,00:00.,683306000,,S,2005,00:00.,1,Texas,4736286,Freni anteriori [it],2,Sales,LL Mountain Frame - Silver,1,14,LB ,77003,PO6438145374,,00:00.,International Bank,582,G,,AW00000309,12,00:00.
Rachel B Valdez,Rachel,TRUE,6,0.4046,36,9,CA-1098,2008,M??er,8,September,1976,3,Caps,F,19,2008,1,16.182,13:19:51.000Z,6.9223,Value Added Reseller,42,,Rodeway Bike Store,7,42.631359 -82.554,225,,19,5.394,244,2007,Sales Representative,,176,,Saarland,Winterfeldtstr 5557,Germany,S,S ,Current,00:00.,1,Bancario Internazionale [it],SL,,Rodeway Bike Store,00:00.,1,1 (11) 500 555-,DE,Macomb County,8.99,3,US,295,Valdez,Clothing,Q1,954276278,48047,300000,,16.182,8,1.2946,3,4,0,5000477,20.7669,170,Traditional style with a flip-up brim; one-size fits all.,rachel0@adventu,1,8,0,Mountain,Germany,Kreditorenbuchhaltung,36,1 (11) 500 555-0163,49:54.,SO53505-42,295,New Baltimore,dimreseller_businesstype_ja,,,5.394,SO53505,productname_zh_tw,,Germany,International Bank [de],dimreseller_bankname_zh_cn,B522-40FD-B5,6.9223,Saturday,1,3,3,30000,1,19:51.,Cycling Cap,,8,Europe,176,16:49:54.000Z,23.0769,0,00:00.,617403000,U ,S,2007,00:00.,1,Michigan,5001836,,2,Sales,AWC Logo Cap,1,4,,48001,PO11397144048,NA,00:00.,International Bank,170,B,Multi,AW00000176,19,00:00.
Linda C Mitchell,Linda,,6,16.8074,100,12,BK-R64Y-48,2008,Santa Ana,4,December,1971,1,Road Bikes,F,2,2008,1,672.294,20:12:19.000Z,713.0798,Specialty Bike Shop,10,,Nello sport negozio,7,33.747017 -117.86248,390,,2,672.294,335,2007,Sales Representative,CM ,649,,California,Po Box 252525,United States,M,,Current,00:00.,1,Primaria Banca e Riserva [it],CA,Carretera-550-W Amarillo [es],Sports Products Store,00:00.,1,883-555-0116,US,Orange County,,,US,282,Mitchell,Bikes,Q2,191644724,92725,1000000,,672.294,4,53.7835,4,,,5379524,713.0798,367,,linda3@adventur,1,4,0,Road,United States,,49,245-555-0191,56:35.,SO58988-10,282,Santa Ana,dimreseller_businesstype_ja,,,,SO58988,productname_zh_tw,,Southwest,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,419B-4310-83,,Saturday,1,1,1,100000,1,12:19.,,,4,North America,649,22:56:35.000Z,23.0769,0,00:00.,614656000,,A,2006,00:00.,1,California,5332921,Strada-550-W Giallo [it],2,Sales,Road-550-W Yellow,1,28,LB ,92701,PO16124114660,,00:00.,Primary Bank & Reserve,367,C,,AW00000649,2,00:00.
Shu K Ito,Shu,TRUE,4,1.8627,100,10,PD-R563,2008,Modesto,4,October,1982,2,Pedals,M,13,2008,1,74.508,08:17:18.000Z,27.568,Value Added Reseller,18,7/1/2007 0:00,Area Bike Accessori,2,37.644481 -120.98043,546,,13,37.254,274,2007,Sales Representative,,491,,California,6900 Sisk Road,United States,M,R ,Current,00:00.,1,Bancario Internazionale [it],CA,,Area Bike Accessories,00:00.,1,330-555-0120,US,Stanislaus County,62.09,375,US,287,Ito,Components,Q2,139397894,95353,300000,,74.508,4,5.9606,4,500,1,5398597,55.136,341,Lightweight aluminum alloy construction.,shu0@adventure-,1,4,0,Road,United States,,40,991-555-0183,52:47.,SO55264-18,287,Modesto,dimreseller_businesstype_ja,Current,M ,37.254,SO55264,productname_zh_tw,,Southwest,International Bank [de],dimreseller_bankname_zh_cn,80F3-4A7B-A2,27.568,Monday,2,2,2,30000,1,17:18.,ML Road Pedal,168,4,North America,491,07:52:47.000Z,23.0769,0,00:00.,689729000,,S,2005,00:00.,1,California,5332921,,2,Sales,ML Road Pedal,1,8,G  ,95354,PO10730163005,NA,00:00.,International Bank,341,K,Silver/Black,AW00000491,13,00:00.
Shu K Ito,Shu,,5,31.4594,100,11,BK-R50R-52,2008,Carson,4,November,1987,3,Road Bikes,M,2,2006,1,1258.3767,01:05:11.000Z,413.1463,Value Added Reseller,8,,Bike Shop pi?? interna,3,33.857416 -118.25633,330,,2,419.4589,305,2005,Sales Representative,CM ,167,,California,99000 S. Avalon Blvd. Suite 750,United States,M,,Current,00:00.,1,Custode Della Banca [it],CA,Carretera-650 Rojo [es],Farthermost Bike Shop,00:00.,1,330-555-0120,US,Los Angeles County,,,US,287,Ito,Bikes,Q2,139397894,90502,300000,,1258.3767,4,100.6701,4,,,5368381,1239.4389,305,,shu0@adventure-,1,4,0,Road,United States,,44,156-555-0187,24:21.,SO44538-8,287,Carson,dimreseller_businesstype_ja,,,,SO44538,productname_zh_tw,,Southwest,Vormund Bank [de],dimreseller_bankname_zh_cn,E495-47A9-AD,,Tuesday,1,1,1,30000,1,05:11.,,,4,North America,167,02:24:21.000Z,23.0769,0,00:00.,609550000,,S,2005,00:00.,1,California,5332921,Strada-650 Rosso [it],2,Sales,Road-650 Red,1,7,LB ,90746,PO2523126243,,00:00.,Guardian Bank,305,K,,AW00000167,2,00:00.
Shu K Ito,Shu,,5,75.0328,100,11,BK-R64Y-42,2008,Escondido,4,November,1990,5,Road Bikes,M,2,2007,1,3001.3125,03:52:01.000Z,605.6492,Warehouse,28,,Numero 1 di alimentazione,4,33.106862 -117.07077,385,,2,600.2625,305,2006,Sales Representative,CM ,257,,California,Escondido,United States,M,,Current,00:00.,1,Primaria Banca e Riserva [it],CA,Carretera-550-W Amarillo [es],Number 1 Supply,00:00.,1,330-555-0120,US,San Diego County,,,US,287,Ito,Bikes,Q2,139397894,92025,3000000,600,3001.3125,4,240.105,4,,,5391832,3028.246,319,,shu0@adventure-,1,4,0,Road,United States,,44,384-555-0169,32:38.,SO48056-28,287,Escondido,dimreseller_businesstype_ja,,,,SO48056,productname_zh_tw,,Southwest,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,5868-43E3-AD,,Wednesday,3,1,1,300000,1,52:01.,,,4,North America,257,05:32:38.000Z,23.0769,0,00:00.,610837000,,Q,2006,00:00.,1,California,5332921,Strada-550-W Giallo [it],2,Sales,Road-550-W Yellow,1,76,LB ,92025,PO4843164827,,00:00.,Primary Bank & Reserve,319,K,,AW00000257,2,00:00.
Linda C Mitchell,Linda,,6,10.0026,100,3,FR-T67U-50,2008,Sherman Oaks,4,March,1986,2,Touring Frames,F,16,2008,1,400.104,12:01:45.000Z,199.8519,Warehouse,13,,Estremo Forniture equitazione,7,34.152513 -118.46396,502,,16,200.052,61,2008,Sales Representative,CM ,420,,California,Riverside,United States,M,,Current,00:00.,2,Riserva di Sicurezza [it],CA,,Extreme Riding Supplies,00:00.,1,883-555-0116,US,Los Angeles County,,,US,282,Mitchell,Components,Q3,191644724,91403,3000000,,400.104,4,32.0083,1,,,5368381,399.7038,370,,linda3@adventur,1,4,0,Touring,United States,,10,429-555-0145,55:59.,SO65176-13,282,Sherman Oaks,dimreseller_businesstype_ja,,,,SO65176,productname_zh_tw,,Southwest,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,2516-4DF3-BB,,Saturday,1,2,2,300000,1,01:45.,,,4,North America,420,14:55:59.000Z,23.0769,0,00:00.,615254000,,Q,2007,00:00.,1,California,5332921,,1,Sales,LL Touring Frame - Blue,1,96,LB ,91403,PO17052135284,,00:00.,Reserve Security,370,C,,AW00000420,16,00:00.
Tete A Mensa-Annan,Tete,,5,37.2136,100,11,FR-M94S-38,2007,Redmond,1,November,1999,2,Mountain Frames,M,12,2007,1,1488.5454,23:41:44.000Z,660.9142,Warehouse,43,,Fronte Sporting Goods,4,47.677471 -122.12138,308,,12,744.2727,305,2006,Sales Representative,CM ,127,,Washington,257700 Ne 76th Street,United States,M,,Current,00:00.,1,Bancario Internazionale [it],WA,HL Monta?a Marco - Plata [es],Front Sporting Goods,00:00.,1,615-555-0153,US,King County,,,US,293,Mensa-Annan,Components,Q2,90836195,98052,3000000,,1488.5454,1,119.0836,4,,,5799783,1321.8284,634,,tete0@adventure,1,1,0,Mountain,United States,,44,119-555-0195,45:14.,SO48001-43,293,Redmond,dimreseller_businesstype_ja,,,,SO48001,productname_zh_tw,,Northwest,International Bank [de],dimreseller_bankname_zh_cn,02F1-4434-99,,Wednesday,1,2,2,300000,1,41:44.,,,1,North America,127,06:45:14.000Z,23.0769,0,00:00.,630210000,,Q,2006,00:00.,1,Washington,5815135,HL Montagna Telaio - Argento [it],2,Sales,HL Mountain Frame - Silver,1,55,LB ,98052,PO14442151969,,00:00.,International Bank,634,A,,AW00000127,12,00:00.
